Provinsi;Tahun;Bulan;Kunjungan
ACEH;2020;1;483897
SUMATERA UTARA;2020;1;2012511
SUMATERA BARAT;2020;1;863282
RIAU;2020;1;619363
JAMBI;2020;1;264201
SUMATERA SELATAN;2020;1;620543
BENGKULU;2020;1;155102
LAMPUNG;2020;1;876254
KEP. BANGKA BELITUNG;2020;1;127282
KEP. RIAU;2020;1;138085
DKI JAKARTA;2020;1;4285490
JAWA BARAT;2020;1;10492510
JAWA TENGAH;2020;1;13945958
DI YOGYAKARTA;2020;1;2564209
JAWA TIMUR;2020;1;11480621
BANTEN;2020;1;3493296
BALI;2020;1;1198046
NUSA TENGGARA BARAT;2020;1;357562
NUSA TENGGARA TIMUR;2020;1;196280
KALIMANTAN BARAT;2020;1;238250
KALIMANTAN TENGAH;2020;1;199469
KALIMANTAN SELATAN;2020;1;453132
KALIMANTAN TIMUR;2020;1;314243
KALIMANTAN UTARA;2020;1;27906
SULAWESI UTARA;2020;1;156614
SULAWESI TENGAH;2020;1;185796
SULAWESI SELATAN;2020;1;1027653
SULAWESI TENGGARA;2020;1;206468
GORONTALO;2020;1;48443
SULAWESI BARAT;2020;1;105991
MALUKU;2020;1;38562
MALUKU UTARA;2020;1;46810
PAPUA BARAT;2020;1;46741
PAPUA BARAT DAYA;2020;1;0
PAPUA;2020;1;75045
PAPUA SELATAN;2020;1;0
PAPUA TENGAH;2020;1;0
PAPUA PEGUNUNGAN;2020;1;0
INDONESIA;2020;1;57345615
ACEH;2020;2;430589
SUMATERA UTARA;2020;2;1466193
SUMATERA BARAT;2020;2;779785
RIAU;2020;2;548129
JAMBI;2020;2;250082
SUMATERA SELATAN;2020;2;584230
BENGKULU;2020;2;140647
LAMPUNG;2020;2;782363
KEP. BANGKA BELITUNG;2020;2;107273
KEP. RIAU;2020;2;112726
DKI JAKARTA;2020;2;3980736
JAWA BARAT;2020;2;9453029
JAWA TENGAH;2020;2;12527304
DI YOGYAKARTA;2020;2;2165645
JAWA TIMUR;2020;2;10963390
BANTEN;2020;2;3108353
BALI;2020;2;1076140
NUSA TENGGARA BARAT;2020;2;346046
NUSA TENGGARA TIMUR;2020;2;177430
KALIMANTAN BARAT;2020;2;192950
KALIMANTAN TENGAH;2020;2;184057
KALIMANTAN SELATAN;2020;2;525682
KALIMANTAN TIMUR;2020;2;286192
KALIMANTAN UTARA;2020;2;28952
SULAWESI UTARA;2020;2;154197
SULAWESI TENGAH;2020;2;176960
SULAWESI SELATAN;2020;2;932636
SULAWESI TENGGARA;2020;2;193500
GORONTALO;2020;2;44850
SULAWESI BARAT;2020;2;97671
MALUKU;2020;2;36768
MALUKU UTARA;2020;2;47758
PAPUA BARAT;2020;2;44158
PAPUA BARAT DAYA;2020;2;0
PAPUA;2020;2;73078
PAPUA SELATAN;2020;2;0
PAPUA TENGAH;2020;2;0
PAPUA PEGUNUNGAN;2020;2;0
INDONESIA;2020;2;52019499
ACEH;2020;3;351710
SUMATERA UTARA;2020;3;1109440
SUMATERA BARAT;2020;3;623248
RIAU;2020;3;464347
